Espécie;Categoria;Ano;Faturamento anual;Está produzindo?;Despesas anuais;Quantidade de indivíduos;Lucro anual;Preço de venda;Produção por indivíduo (kg, un ou m³);Produto vendido
Milho;Agrícola;2025;R$ 66.360,00;Sim;R$ 20.736,00;2765;R$ 45.624,00;6;4 unidade;Pamonha
Milho;Agrícola;2026;R$ 66.360,00;Sim;R$ 20.736,00;2765;R$ 45.624,00;6;4 unidade;Pamonha
Milho;Agrícola;2027;R$ 66.360,00;Sim;R$ 20.736,00;2765;R$ 45.624,00;6;4 unidade;Pamonha
Milho;Agrícola;2028;R$ 66.360,00;Sim;R$ 20.736,00;2765;R$ 45.624,00;6;4 unidade;Pamonha
Milho;Agrícola;2029;R$ 66.360,00;Sim;R$ 20.736,00;2765;R$ 45.624,00;6;4 unidade;Pamonha
Milho;Agrícola;2030;R$ 66.360,00;Sim;R$ 20.736,00;2765;R$ 45.624,00;6;4 unidade;Pamonha
Milho;Agrícola;2031;R$ 66.360,00;Sim;R$ 20.736,00;2765;R$ 45.624,00;6;4 unidade;Pamonha
Milho;Agrícola;2032;R$ 66.360,00;Sim;R$ 20.736,00;2765;R$ 45.624,00;6;4 unidade;Pamonha
Milho;Agrícola;2033;R$ 66.360,00;Sim;R$ 20.736,00;2765;R$ 45.624,00;6;4 unidade;Pamonha
Milho;Agrícola;2034;R$ 66.360,00;Sim;R$ 20.736,00;2765;R$ 45.624,00;6;4 unidade;Pamonha
Milho;Agrícola;2035;R$ 66.360,00;Sim;R$ 20.736,00;2765;R$ 45.624,00;6;4 unidade;Pamonha
Milho;Agrícola;2036;R$ 66.360,00;Sim;R$ 20.736,00;2765;R$ 45.624,00;6;4 unidade;Pamonha
Milho;Agrícola;2037;R$ 66.360,00;Sim;R$ 20.736,00;2765;R$ 45.624,00;6;4 unidade;Pamonha
Milho;Agrícola;2038;R$ 66.360,00;Sim;R$ 20.736,00;2765;R$ 45.624,00;6;4 unidade;Pamonha
Milho;Agrícola;2039;R$ 66.360,00;Sim;R$ 20.736,00;2765;R$ 45.624,00;6;4 unidade;Pamonha
Milho;Agrícola;2040;R$ 66.360,00;Sim;R$ 20.736,00;2765;R$ 45.624,00;6;4 unidade;Pamonha
Andiroba;Florestal;2034;R$ 12.600,00;Sim;R$ 504,00;14;R$ 12.096,00;1500;0.6 m³;Madeira
Mogno;Florestal;2036;R$ 22.400,00;Sim;R$ 756,00;14;R$ 21.644,00;2000;0.8 m³;Madeira
Açaí;Frutífera;2027;R$ 17.400,00;Sim;R$ 5.220,00;58;R$ 12.180,00;25;12 kg;Polpa
Açaí;Frutífera;2028;R$ 17.400,00;Sim;R$ 5.220,00;58;R$ 12.180,00;25;12 kg;Polpa
Açaí;Frutífera;2029;R$ 17.400,00;Sim;R$ 5.220,00;58;R$ 12.180,00;25;12 kg;Polpa
Açaí;Frutífera;2030;R$ 17.400,00;Sim;R$ 5.220,00;58;R$ 12.180,00;25;12 kg;Polpa
Açaí;Frutífera;2031;R$ 17.400,00;Sim;R$ 5.220,00;58;R$ 12.180,00;25;12 kg;Polpa
Açaí;Frutífera;2032;R$ 17.400,00;Sim;R$ 5.220,00;58;R$ 12.180,00;25;12 kg;Polpa
Açaí;Frutífera;2033;R$ 17.400,00;Sim;R$ 5.220,00;58;R$ 12.180,00;25;12 kg;Polpa
Açaí;Frutífera;2034;R$ 17.400,00;Sim;R$ 5.220,00;58;R$ 12.180,00;25;12 kg;Polpa
Açaí;Frutífera;2035;R$ 17.400,00;Sim;R$ 5.220,00;58;R$ 12.180,00;25;12 kg;Polpa
Açaí;Frutífera;2036;R$ 17.400,00;Sim;R$ 5.220,00;58;R$ 12.180,00;25;12 kg;Polpa
Açaí;Frutífera;2037;R$ 17.400,00;Sim;R$ 5.220,00;58;R$ 12.180,00;25;12 kg;Polpa
Açaí;Frutífera;2038;R$ 17.400,00;Sim;R$ 5.220,00;58;R$ 12.180,00;25;12 kg;Polpa
Cacau;Frutífera;2028;R$ 5.016,00;Sim;R$ 6.840,00;57;-R$ 1.824,00;4;22 kg;Fruto
Coqueiro;Frutífera;2028;R$ 14.000,00;Sim;R$ 1.050,00;14;R$ 12.950,00;5;200 litros;Suco
Açaí;Frutífera;2039;R$ 17.400,00;Sim;R$ 5.220,00;58;R$ 12.180,00;25;12 kg;Polpa
Açaí;Frutífera;2040;R$ 17.400,00;Sim;R$ 5.220,00;58;R$ 12.180,00;25;12 kg;Polpa
Banana;Frutífera;2025;R$ 11.970,00;Sim;R$ 4.788,00;57;R$ 7.182,00;10;21 kg;Polpa
Banana;Frutífera;2026;R$ 11.970,00;Sim;R$ 4.788,00;57;R$ 7.182,00;10;21 kg;Polpa
Cacau;Frutífera;2029;R$ 5.016,00;Sim;R$ 6.840,00;57;-R$ 1.824,00;4;22 kg;Fruto
Coqueiro;Frutífera;2029;R$ 14.000,00;Sim;R$ 1.050,00;14;R$ 12.950,00;5;200 litros;Suco
Banana;Frutífera;2028;R$ 11.970,00;Sim;R$ 4.788,00;57;R$ 7.182,00;10;21 kg;Polpa
Banana;Frutífera;2029;R$ 11.970,00;Sim;R$ 4.788,00;57;R$ 7.182,00;10;21 kg;Polpa
Cacau;Frutífera;2030;R$ 5.016,00;Sim;R$ 6.840,00;57;-R$ 1.824,00;4;22 kg;Fruto
Coqueiro;Frutífera;2030;R$ 14.000,00;Sim;R$ 1.050,00;14;R$ 12.950,00;5;200 litros;Suco
Banana;Frutífera;2031;R$ 11.970,00;Sim;R$ 4.788,00;57;R$ 7.182,00;10;21 kg;Polpa
Banana;Frutífera;2032;R$ 11.970,00;Sim;R$ 4.788,00;57;R$ 7.182,00;10;21 kg;Polpa
Banana;Frutífera;2034;R$ 11.970,00;Sim;R$ 4.788,00;57;R$ 7.182,00;10;21 kg;Polpa
Cacau;Frutífera;2031;R$ 5.016,00;Sim;R$ 6.840,00;57;-R$ 1.824,00;4;22 kg;Fruto
Coqueiro;Frutífera;2031;R$ 14.000,00;Sim;R$ 1.050,00;14;R$ 12.950,00;5;200 litros;Suco
Banana;Frutífera;2035;R$ 11.970,00;Sim;R$ 4.788,00;57;R$ 7.182,00;10;21 kg;Polpa
Banana;Frutífera;2037;R$ 11.970,00;Sim;R$ 4.788,00;57;R$ 7.182,00;10;21 kg;Polpa
Banana;Frutífera;2038;R$ 11.970,00;Sim;R$ 4.788,00;57;R$ 7.182,00;10;21 kg;Polpa
Cacau;Frutífera;2032;R$ 5.016,00;Sim;R$ 6.840,00;57;-R$ 1.824,00;4;22 kg;Fruto
Coqueiro;Frutífera;2032;R$ 14.000,00;Sim;R$ 1.050,00;14;R$ 12.950,00;5;200 litros;Suco
Banana;Frutífera;2040;R$ 11.970,00;Sim;R$ 4.788,00;57;R$ 7.182,00;10;21 kg;Polpa
Mamão;Frutífera;2025;R$ 37.700,00;Sim;R$ 3.480,00;58;R$ 34.220,00;10;65 kg;Polpa
Mamão;Frutífera;2026;R$ 37.700,00;Sim;R$ 3.480,00;58;R$ 34.220,00;10;65 kg;Polpa
Cacau;Frutífera;2033;R$ 5.016,00;Sim;R$ 6.840,00;57;-R$ 1.824,00;4;22 kg;Fruto
Coqueiro;Frutífera;2033;R$ 14.000,00;Sim;R$ 1.050,00;14;R$ 12.950,00;5;200 litros;Suco
Mamão;Frutífera;2028;R$ 37.700,00;Sim;R$ 3.480,00;58;R$ 34.220,00;10;65 kg;Polpa
Mamão;Frutífera;2029;R$ 37.700,00;Sim;R$ 3.480,00;58;R$ 34.220,00;10;65 kg;Polpa
Cacau;Frutífera;2034;R$ 5.016,00;Sim;R$ 6.840,00;57;-R$ 1.824,00;4;22 kg;Fruto
Coqueiro;Frutífera;2034;R$ 14.000,00;Sim;R$ 1.050,00;14;R$ 12.950,00;5;200 litros;Suco
Mamão;Frutífera;2031;R$ 37.700,00;Sim;R$ 3.480,00;58;R$ 34.220,00;10;65 kg;Polpa
Mamão;Frutífera;2032;R$ 37.700,00;Sim;R$ 3.480,00;58;R$ 34.220,00;10;65 kg;Polpa
Mamão;Frutífera;2034;R$ 37.700,00;Sim;R$ 3.480,00;58;R$ 34.220,00;10;65 kg;Polpa
Cacau;Frutífera;2035;R$ 5.016,00;Sim;R$ 6.840,00;57;-R$ 1.824,00;4;22 kg;Fruto
Coqueiro;Frutífera;2035;R$ 14.000,00;Sim;R$ 1.050,00;14;R$ 12.950,00;5;200 litros;Suco
Mamão;Frutífera;2035;R$ 37.700,00;Sim;R$ 3.480,00;58;R$ 34.220,00;10;65 kg;Polpa
Mamão;Frutífera;2037;R$ 37.700,00;Sim;R$ 3.480,00;58;R$ 34.220,00;10;65 kg;Polpa
Mamão;Frutífera;2038;R$ 37.700,00;Sim;R$ 3.480,00;58;R$ 34.220,00;10;65 kg;Polpa
Cacau;Frutífera;2036;R$ 5.016,00;Sim;R$ 6.840,00;57;-R$ 1.824,00;4;22 kg;Fruto
Coqueiro;Frutífera;2036;R$ 14.000,00;Sim;R$ 1.050,00;14;R$ 12.950,00;5;200 litros;Suco
Mamão;Frutífera;2040;R$ 37.700,00;Sim;R$ 3.480,00;58;R$ 34.220,00;10;65 kg;Polpa
Cacau;Frutífera;2037;R$ 5.016,00;Sim;R$ 6.840,00;57;-R$ 1.824,00;4;22 kg;Fruto
Coqueiro;Frutífera;2037;R$ 14.000,00;Sim;R$ 1.050,00;14;R$ 12.950,00;5;200 litros;Suco
Cupuaçu;Frutífera;2028;R$ 83.160,00;Sim;R$ 5.670,00;54;R$ 77.490,00;22;70 kg;Polpa
Cupuaçu;Frutífera;2029;R$ 83.160,00;Sim;R$ 5.670,00;54;R$ 77.490,00;22;70 kg;Polpa
Cupuaçu;Frutífera;2030;R$ 83.160,00;Sim;R$ 5.670,00;54;R$ 77.490,00;22;70 kg;Polpa
Cacau;Frutífera;2038;R$ 5.016,00;Sim;R$ 6.840,00;57;-R$ 1.824,00;4;22 kg;Fruto
Coqueiro;Frutífera;2038;R$ 14.000,00;Sim;R$ 1.050,00;14;R$ 12.950,00;5;200 litros;Suco
Cupuaçu;Frutífera;2031;R$ 83.160,00;Sim;R$ 5.670,00;54;R$ 77.490,00;22;70 kg;Polpa
Cupuaçu;Frutífera;2032;R$ 83.160,00;Sim;R$ 5.670,00;54;R$ 77.490,00;22;70 kg;Polpa
Cupuaçu;Frutífera;2033;R$ 83.160,00;Sim;R$ 5.670,00;54;R$ 77.490,00;22;70 kg;Polpa
Cupuaçu;Frutífera;2034;R$ 83.160,00;Sim;R$ 5.670,00;54;R$ 77.490,00;22;70 kg;Polpa
Cacau;Frutífera;2039;R$ 5.016,00;Sim;R$ 6.840,00;57;-R$ 1.824,00;4;22 kg;Fruto
Coqueiro;Frutífera;2039;R$ 14.000,00;Sim;R$ 1.050,00;14;R$ 12.950,00;5;200 litros;Suco
Cupuaçu;Frutífera;2035;R$ 83.160,00;Sim;R$ 5.670,00;54;R$ 77.490,00;22;70 kg;Polpa
Cupuaçu;Frutífera;2036;R$ 83.160,00;Sim;R$ 5.670,00;54;R$ 77.490,00;22;70 kg;Polpa
Cupuaçu;Frutífera;2037;R$ 83.160,00;Sim;R$ 5.670,00;54;R$ 77.490,00;22;70 kg;Polpa
Cupuaçu;Frutífera;2038;R$ 83.160,00;Sim;R$ 5.670,00;54;R$ 77.490,00;22;70 kg;Polpa
Cacau;Frutífera;2040;R$ 5.016,00;Sim;R$ 6.840,00;57;-R$ 1.824,00;4;22 kg;Fruto
Coqueiro;Frutífera;2040;R$ 14.000,00;Sim;R$ 1.050,00;14;R$ 12.950,00;5;200 litros;Suco
Cupuaçu;Frutífera;2039;R$ 83.160,00;Sim;R$ 5.670,00;54;R$ 77.490,00;22;70 kg;Polpa
Cupuaçu;Frutífera;2040;R$ 83.160,00;Sim;R$ 5.670,00;54;R$ 77.490,00;22;70 kg;Polpa
